Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,001,Survey of Art & Arch Hist II,0.4,0.4,0.17,0.0,0.01,0.0,0.0,0.01,Andrea Feeser,,AAH-1020,2018
AAH,2060,001,Art History and Theory II,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-2060,2018
ACCT,2010,001,Financial Accounting Concepts,0.13,0.31,0.29,0.1,0.17,0.0,0.0,0.0,Emily McCorkle,,ACCT-2010,2018
ACCT,2010,002,Financial Accounting Concepts,0.33,0.38,0.16,0.04,0.07,0.0,0.0,0.02,Lydia Schleifer,,ACCT-2010,2018
ACCT,2010,003,Financial Accounting Concepts,0.28,0.22,0.34,0.08,0.08,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2018
ACCT,2010,004,Financial Accounting Concepts,0.4,0.28,0.14,0.1,0.04,0.0,0.0,0.04,Emily McCorkle,,ACCT-2010,2018
ACCT,2010,005,Financial Accounting Concepts,0.41,0.31,0.18,0.02,0.04,0.0,0.0,0.04,Annieka Philo,,ACCT-2010,2018
ACCT,2010,006,Financial Accounting Concepts,0.43,0.31,0.1,0.02,0.06,0.0,0.0,0.08,Lydia Schleifer,,ACCT-2010,2018
ACCT,2010,007,Financial Accounting Concepts,0.31,0.52,0.04,0.02,0.08,0.0,0.0,0.02,Lydia Schleifer,,ACCT-2010,2018
ACCT,2010,008,Financial Accounting Concepts,0.37,0.35,0.16,0.04,0.04,0.0,0.0,0.04,Emily McCorkle,,ACCT-2010,2018
ACCT,2010,009,Financial Accounting Concepts,0.3,0.32,0.22,0.04,0.1,0.0,0.0,0.02,Emily McCorkle,,ACCT-2010,2018
ACCT,2010,010,Financial Accounting Concepts,0.18,0.36,0.24,0.12,0.08,0.0,0.0,0.02,James Barnes,,ACCT-2010,2018
ACCT,2010,011,Financial Accounting Concepts,0.3,0.36,0.2,0.06,0.08,0.0,0.0,0.0,Rebecca Trax,,ACCT-2010,2018
ACCT,2010,012,Financial Accounting Concepts,0.37,0.31,0.18,0.06,0.04,0.0,0.0,0.04,Rebecca Trax,,ACCT-2010,2018
ACCT,2010,013,Financial Accounting Concepts,0.49,0.24,0.1,0.07,0.05,0.0,0.0,0.05,Charles Tegen,,ACCT-2010,2018
ACCT,2010,014,Financial Accounting Concepts,0.29,0.29,0.32,0.03,0.06,0.0,0.0,0.0,Philip Maiberger,,ACCT-2010,2018
ACCT,2010,015,Financial Accounting Concepts,0.24,0.43,0.14,0.1,0.05,0.0,0.0,0.05,Lisa Birtwistle,,ACCT-2010,2018
ACCT,2010,016,Financial Accounting Concepts,0.12,0.38,0.22,0.08,0.16,0.0,0.0,0.04,James Barnes,,ACCT-2010,2018
ACCT,2010,101,Fin Acct Concepts (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,Lisa Birtwistle,True,ACCT-2010,2018
ACCT,2010,401,Financial Accounting Concepts,0.31,0.48,0.1,0.08,0.01,0.0,0.0,0.02,Jeffrey McMillan,,ACCT-2010,2018
ACCT,2020,001,Managerial Accounting Concepts,0.17,0.34,0.17,0.03,0.06,0.0,0.0,0.23,Henry Anderson,,ACCT-2020,2018
ACCT,2020,002,Managerial Accounting Concepts,0.19,0.28,0.17,0.02,0.02,0.0,0.0,0.33,Henry Anderson,,ACCT-2020,2018
ACCT,2020,003,Managerial Accounting Concepts,0.27,0.29,0.22,0.14,0.06,0.0,0.0,0.02,Phebian Davis-Culler,,ACCT-2020,2018
ACCT,2020,004,Managerial Accounting Concepts,0.42,0.33,0.19,0.04,0.02,0.0,0.0,0.0,James Kohlmeyer,,ACCT-2020,2018
ACCT,2020,005,Managerial Accounting Concepts,0.22,0.33,0.13,0.04,0.07,0.0,0.0,0.2,Henry Anderson,,ACCT-2020,2018
ACCT,2020,006,Managerial Accounting Concepts,0.29,0.29,0.21,0.09,0.04,0.0,0.0,0.09,Brian Carver,,ACCT-2020,2018
ACCT,2020,007,Managerial Accounting Concepts,0.15,0.31,0.27,0.0,0.17,0.0,0.0,0.1,Brian Carver,,ACCT-2020,2018
ACCT,2020,401,Managerial Accounting Concepts,0.33,0.28,0.18,0.05,0.03,0.0,0.0,0.12,Henry Anderson,,ACCT-2020,2018
ACCT,3030,001,Cost Accounting,0.3,0.36,0.23,0.11,0.0,0.0,0.0,0.0,Phebian Davis-Culler,,ACCT-3030,2018
ACCT,3030,002,Cost Accounting,0.36,0.27,0.27,0.04,0.04,0.0,0.0,0.02,Phebian Davis-Culler,,ACCT-3030,2018
ACCT,3030,003,Cost Accounting,0.2,0.32,0.32,0.07,0.0,0.0,0.0,0.1,Jace Garrett,,ACCT-3030,2018
ACCT,3030,004,Cost Accounting,0.13,0.32,0.36,0.06,0.11,0.0,0.0,0.02,Jace Garrett,,ACCT-3030,2018
ACCT,3110,001,Intermediate Financial Acct I,0.29,0.33,0.19,0.05,0.07,0.0,0.0,0.07,Erin Hawkins,,ACCT-3110,2018
ACCT,3110,002,Intermediate Financial Acct I,0.18,0.5,0.23,0.05,0.05,0.0,0.0,0.0,Erin Hawkins,,ACCT-3110,2018
ACCT,3110,003,Intermediate Financial Acct I,0.22,0.44,0.2,0.13,0.0,0.0,0.0,0.0,Amy Donnelly,,ACCT-3110,2018
ACCT,3110,004,Intermediate Financial Acct I,0.29,0.33,0.31,0.07,0.0,0.0,0.0,0.0,Amy Donnelly,,ACCT-3110,2018
ACCT,3110,401,Intermediate Financial Acct I,0.49,0.27,0.08,0.06,0.02,0.0,0.0,0.08,Henry Anderson,,ACCT-3110,2018
ACCT,3120,001,Intermediate Financial Acct II,0.0,0.18,0.45,0.18,0.18,0.0,0.0,0.0,Jeremy Vinson,,ACCT-3120,2018
ACCT,3120,002,Intermediate Financial Acct II,0.32,0.36,0.25,0.05,0.0,0.0,0.0,0.02,Terry Knause,,ACCT-3120,2018
ACCT,3120,003,Intermediate Financial Acct II,0.23,0.39,0.27,0.09,0.02,0.0,0.0,0.0,Jeremy Vinson,,ACCT-3120,2018
ACCT,3120,004,Intermediate Financial Acct II,0.28,0.33,0.33,0.0,0.0,0.0,0.0,0.06,Terry Knause,,ACCT-3120,2018
ACCT,3120,005,Intermediate Financial Acct II,0.36,0.3,0.23,0.11,0.0,0.0,0.0,0.0,Terry Knause,,ACCT-3120,2018
ACCT,3120,006,Intermediate Financial Acct II,0.27,0.4,0.2,0.13,0.0,0.0,0.0,0.0,Terry Knause,,ACCT-3120,2018
ACCT,3130,001,Intermediate Fin Acct III,0.11,0.5,0.21,0.07,0.04,0.0,0.0,0.07,Russell Madray,,ACCT-3130,2018
ACCT,3130,002,Intermediate Fin Acct III,0.16,0.48,0.3,0.02,0.02,0.0,0.0,0.02,Russell Madray,,ACCT-3130,2018
ACCT,3130,003,Intermediate Fin Acct III,0.3,0.49,0.16,0.05,0.0,0.0,0.0,0.0,Russell Madray,,ACCT-3130,2018
ACCT,3130,004,Intermediate Fin Acct III,0.36,0.44,0.15,0.05,0.0,0.0,0.0,0.0,Russell Madray,,ACCT-3130,2018
ACCT,3220,001,Accounting Information Systems,0.17,0.5,0.17,0.03,0.03,0.0,0.0,0.11,Philip Maiberger,,ACCT-3220,2018
ACCT,3220,002,Accounting Information Systems,0.25,0.47,0.22,0.06,0.0,0.0,0.0,0.0,Philip Maiberger,,ACCT-3220,2018
ACCT,3220,003,Accounting Information Systems,0.06,0.23,0.48,0.06,0.03,0.0,0.0,0.13,Philip Maiberger,,ACCT-3220,2018
ACCT,4040,001,Individual Taxation,0.74,0.17,0.06,0.03,0.0,0.0,0.0,0.0,Martin Sarah L,,ACCT-4040,2018
ACCT,4040,002,Individual Taxation,0.88,0.1,0.03,0.0,0.0,0.0,0.0,0.0,Martin Sarah L,,ACCT-4040,2018
ACCT,4040,003,Individual Taxation,0.58,0.3,0.0,0.1,0.03,0.0,0.0,0.0,Lisa Birtwistle,,ACCT-4040,2018
ACCT,4040,004,Individual Taxation,0.24,0.38,0.19,0.08,0.08,0.0,0.0,0.03,Lisa Birtwistle,,ACCT-4040,2018
ACCT,4100,001,Reporting and Mgmt Control Sys,0.28,0.38,0.33,0.0,0.0,0.0,0.0,0.0,Robin Radtke,,ACCT-4100,2018
ACCT,4100,002,Reporting and Mgmt Control Sys,0.3,0.53,0.15,0.0,0.0,0.0,0.0,0.03,Robin Radtke,,ACCT-4100,2018
ACCT,4150,001,Auditing,0.15,0.49,0.28,0.05,0.03,0.0,0.0,0.0,Carl Hollingsworth,,ACCT-4150,2018
ACCT,4150,002,Auditing,0.17,0.33,0.19,0.17,0.03,0.0,0.0,0.11,Carl Hollingsworth,,ACCT-4150,2018
ACCT,8520,001,Fin Acct Theory/Res,0.43,0.54,0.03,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8520,2018
ACCT,8520,002,Fin Acct Theory/Res,0.28,0.59,0.13,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8520,2018
ACCT,8540,001,Prof Responsibility,0.47,0.5,0.03,0.0,0.0,0.0,0.0,0.0,Suzanne Pearse,,ACCT-8540,2018
