AAH,1010,001,Survey of Art & Arch History I,38%,43%,12%,2%,1%,0%,0%,5%,"Lauritis, Beth Ann",
AAH,2100,400,Intro to Art and Architecture,36%,29%,14%,4%,0%,0%,0%,18%,"Leblanc, Janet Bever",
AAH,2100,401,Intro to Art and Architecture,25%,25%,25%,7%,7%,0%,0%,11%,"Leblanc, Janet Bever",
AAH,2100,402,Intro to Art and Architecture,46%,19%,19%,8%,4%,0%,0%,4%,"Leblanc, Janet Bever",
AAH,2100,403,Intro to Art and Architecture,44%,44%,4%,0%,0%,0%,0%,7%,"Leblanc, Janet Bever",
AAH,3050,001,Contemp Art History,88%,12%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,001,Fin Acct Concepts,5%,29%,31%,7%,14%,0%,0%,14%,"Maiberger, Philip A",
ACCT,2010,002,Fin Acct Concepts,5%,38%,33%,10%,7%,0%,0%,7%,"Maiberger, Philip A",
ACCT,2010,003,Fin Acct Concepts,17%,17%,24%,14%,8%,0%,0%,20%,"Pearse, Suzanne",
ACCT,2010,004,Fin Acct Concepts,10%,23%,30%,25%,5%,0%,0%,8%,"Pearse, Suzanne",
ACCT,2010,005,Fin Acct Concepts (HON),68%,21%,5%,0%,0%,0%,0%,5%,"Winters, Alan J",H
ACCT,2010,006,Fin Acct Concepts,10%,33%,24%,21%,7%,0%,0%,5%,"Maiberger, Philip A",
ACCT,2010,007,Fin Acct Concepts,24%,29%,27%,5%,10%,0%,0%,5%,"Winters, Alan J",
ACCT,2010,008,Fin Acct Concepts,7%,29%,41%,10%,10%,0%,0%,2%,"Pearse, Suzanne",
ACCT,2010,009,Fin Acct Concepts,2%,36%,26%,17%,12%,0%,0%,7%,"Maiberger, Philip A",
ACCT,2010,010,Fin Acct Concepts,9%,35%,16%,14%,12%,0%,0%,14%,"Winters, Alan J",
ACCT,2010,011,Fin Acct Concepts,4%,21%,27%,17%,8%,0%,0%,23%,"Guffey, The Estate o",
ACCT,2010,012,Fin Acct Concepts,15%,28%,34%,13%,2%,0%,0%,9%,"Guffey, The Estate o",
ACCT,2010,013,Fin Acct Concepts,10%,38%,24%,12%,5%,0%,0%,12%,"Guffey, The Estate o",
ACCT,2010,014,Fin Acct Concepts,11%,34%,25%,4%,8%,0%,0%,17%,"McMillan, Jeffrey J",
ACCT,2020,001,Mgr Acct Concepts,24%,33%,24%,13%,2%,0%,0%,4%,"Philo, Annieka C",
ACCT,2020,002,Mgr Acct Concepts,25%,40%,17%,9%,4%,0%,0%,6%,"Philo, Annieka C",
ACCT,2020,003,Mgr Acct Concepts,12%,41%,18%,14%,4%,0%,0%,12%,"Philo, Annieka C",
ACCT,2020,004,Mgr Acct Concepts,12%,20%,38%,18%,8%,0%,0%,4%,"Philo, Annieka C",
ACCT,2020,006,Mgr Acct Concepts,51%,31%,13%,2%,2%,0%,0%,0%,"Martin, Sarah L",
ACCT,2020,007,Mgr Acct Concepts,13%,24%,16%,13%,7%,0%,0%,27%,"Anderson, Henry K.",
ACCT,2020,008,Managerial Accounting Concepts,20%,30%,50%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,2040,001,Accounting Procedures,50%,21%,12%,2%,6%,0%,0%,10%,"McMillan, Jeffrey J",
ACCT,2040,002,Accounting Procedures,52%,22%,10%,6%,4%,0%,0%,6%,"McMillan, Jeffrey J",
ACCT,3030,001,Cost Accounting,33%,33%,19%,3%,11%,0%,0%,0%,"Widener, Sally Kathr",
ACCT,3030,002,Cost Accounting,19%,38%,19%,11%,3%,0%,0%,11%,"Widener, Sally Kathr",
ACCT,3030,003,Cost Accounting,42%,8%,13%,4%,13%,0%,0%,21%,"Anderson, Henry K.",
ACCT,3030,005,Cost Accounting,45%,21%,11%,5%,8%,0%,0%,11%,"Anderson, Henry K.",H
ACCT,3110,001,Inter Fin Acct I,37%,27%,13%,17%,7%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3110,002,Inter Fin Acct I,25%,42%,22%,0%,0%,0%,0%,11%,"Knause, Terry Daniel",
ACCT,3110,003,Inter Fin Acct I,41%,33%,13%,3%,5%,0%,0%,5%,"Knause, Terry Daniel",
ACCT,3110,005,Inter Fin Acct I,39%,30%,12%,12%,6%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,001,Intermed Financial Acct II,9%,19%,25%,19%,13%,0%,0%,16%,"Schleifer, Lydia Lan",
ACCT,3120,002,Intermed Financial Acct II,16%,45%,16%,13%,8%,0%,0%,3%,"Schleifer, Lydia Lan",
ACCT,3120,003,Intermed Financial Acct II,13%,33%,23%,8%,3%,0%,0%,21%,"Schleifer, Lydia Lan",
ACCT,3120,004,Intermed Financial Acct II,40%,40%,9%,2%,5%,0%,0%,5%,"Anderson, Henry K.",
ACCT,3130,001,Inter Fin Acct III,13%,46%,29%,4%,4%,0%,0%,4%,"Madray, J Russell",
ACCT,3130,002,Inter Fin Acct III,26%,39%,21%,8%,0%,0%,0%,5%,"Madray, J Russell",
ACCT,3130,003,Inter Fin Acct III,40%,33%,23%,5%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3130,005,Inter Fin Acct III,36%,36%,23%,5%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3220,001,Acct Info System,19%,35%,35%,4%,4%,0%,0%,4%,"Harp, Nancy Lee",
ACCT,3220,002,Acct Info System,11%,47%,26%,6%,2%,0%,0%,8%,"Harp, Nancy Lee",
ACCT,4040,002,Individual Taxation,22%,41%,30%,4%,0%,0%,0%,2%,"Hine, John M",
ACCT,4040,003,Individual Taxation,25%,31%,25%,19%,0%,0%,0%,0%,"Hine, John M",
ACCT,4100,001,Budget and Exec Cont,43%,25%,23%,9%,0%,0%,0%,0%,"Kennedy, Frances A",
ACCT,4150,001,Auditing,19%,36%,25%,14%,3%,0%,0%,3%,"Hollingsworth, Carl"
ACCT,4150,002,Auditing,19%,27%,27%,23%,0%,0%,0%,4%,"Hollingsworth, Carl"
ACCT,8510,001,Tax Research,3%,64%,33%,0%,0%,0%,0%,0%,"Dickens, Thomas L"
ACCT,8510,002,Tax Research,14%,74%,11%,0%,0%,0%,0%,0%,"Dickens, Thomas L"
ACCT,8530,001,Adv Acct Problems,54%,41%,3%,0%,3%,0%,0%,0%,"Welton, Ralph E"
ACCT,8530,002,Adv Acct Problems,53%,43%,3%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8540,001,Prof Responsibility,94%,6%,0%,0%,0%,0%,0%,0%,"Radtke, Robin R"
ACCT,8630,001,Forensics Analysis,51%,27%,22%,0%,0%,0%,0%,0%,"Irving, James H"
ACCT,8730,001,Intl/Spec Tax Topic,39%,61%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R"
ACCT,8730,002,Intl/Spec Tax Topic,38%,63%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R"
AGED,1020,001,Freshman Seminar,88%,12%,0%,0%,0%,0%,0%,0%,"Dobbins, Thomas R"
AGED,2000,001,Agr Appl of Ed Tech,60%,20%,20%,0%,0%,0%,0%,0%,"Long, Robin Elizabet"
AGED,2010,001,Intro to Agric Educ,28%,50%,11%,6%,0%,0%,0%,6%,"Fravel, Philip M"
AGED,2040,001,App Ag Calculations,50%,33%,17%,0%,0%,0%,0%,0%,"Fravel, Philip M"
AGED,3030,001,Ag Ed Mech Tech,50%,38%,13%,0%,0%,0%,0%,0%,"Fravel, Philip M"
AGED,4030,001,Prin Adult/Ext Ed,54%,38%,8%,0%,0%,0%,0%,0%,"Layfield, Kevin D"
AGM,1010,001,Intro Ag Mech & Bus,73%,14%,5%,2%,4%,0%,0%,2%,"Kirk, Kendall R"
AGM,2050,001,Prin of Fabrication,15%,49%,29%,6%,1%,0%,0%,0%,"Massey, Hunter F"
AGM,2060,001,Machinery Mgt,8%,23%,62%,0%,0%,0%,0%,8%,"Massey, Hunter F"
AGM,2190,001,Agribuxiness and Food Systems,9%,57%,26%,4%,0%,0%,0%,4%,"Massey, Hunter F"
AGM,2210,001,Land Measurements,38%,39%,15%,4%,3%,0%,0%,2%,"Privette, Charles V"
AGM,3010,001,Soil Water Conserv,25%,30%,35%,4%,5%,0%,0%,2%,"Sawyer, Calvin B"
AGM,3190,001,Agribusiness Decision Analysis,45%,35%,16%,0%,0%,0%,0%,3%,"Ferreira, Wilder N."
AGM,4050,001,Env Cont in Anim Str,39%,56%,6%,0%,0%,0%,0%,0%,"Chastain, John P"
AGM,4060,001,Mech & Hydraulic Sys,21%,38%,42%,0%,0%,0%,0%,0%,"Kirk, Kendall R"
AGM,4600,001,Electrical Systems,50%,44%,6%,0%,0%,0%,0%,0%,"Han, Young J"
AGR,1040,001,Intro to Plant Sc,39%,48%,4%,4%,4%,0%,0%,0%,"Atkinson, Jeffrey La"
AL,3490,400,Princ of Coaching,36%,36%,20%,4%,4%,0%,0%,0%,"Cadorette, Deborah J"
AL,3490,401,Princ of Coaching,44%,41%,11%,4%,0%,0%,0%,0%,"Cadorette, Deborah J"
AL,3490,402,Princ of Coaching,40%,36%,20%,0%,4%,0%,0%,0%,"Cadorette, Deborah J"
AL,3490,403,Princ of Coaching,35%,22%,13%,4%,17%,0%,0%,9%,"Connor, Clyde Keith"
AL,3490,404,Princ of Coaching,61%,4%,9%,4%,4%,0%,0%,17%,"Fry, Edmond H"
AL,3490,405,Princ of Coaching,59%,15%,4%,0%,7%,0%,0%,15%,"Connor, Clyde Keith"
AL,3500,400,Sci Basis I/Ex Phy,16%,28%,16%,16%,8%,0%,0%,16%,"Godfrey, Michael G"
AL,3500,401,Sci Basis I/Ex Phy,24%,20%,32%,16%,4%,0%,0%,4%,"Godfrey, Michael G"
AL,3520,400,Kinesiology,25%,8%,8%,42%,0%,0%,0%,17%,"Godfrey, Michael G"
AL,3530,400,Athletic Injuries,25%,17%,42%,17%,0%,0%,0%,0%,"Colbert, Isaac Sean"
AL,3530,401,Athletic Injuries,13%,13%,50%,4%,13%,0%,0%,8%,"Colbert, Isaac Sean"
AL,3600,400,Hs Athl Ethics & Law,45%,32%,14%,0%,0%,0%,0%,9%,"Connor, Clyde Keith"
AL,3610,400,Admin/Org Athletics,68%,21%,11%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3610,401,Admin/Org Athletics,65%,19%,15%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3610,402,Admin/Org Athletics,77%,15%,0%,4%,0%,0%,0%,4%,"Oates, Henry C."
AL,3620,400,Psych of Coaching,15%,42%,35%,4%,4%,0%,0%,0%,"Carter, Natalie Anne"
AL,3620,401,Psych of Coaching,19%,22%,37%,19%,4%,0%,0%,0%,"Carter, Natalie Anne"
AL,3760,400,Coaching Strgth/Cond,59%,21%,7%,3%,3%,0%,0%,7%,"Fry, Edmond H"
AL,3760,401,Coaching Strgth/Cond,60%,13%,7%,0%,7%,0%,0%,13%,"Fry, Edmond H"
AL,3770,001,Coaching Track/Field,75%,25%,0%,0%,0%,0%,0%,0%,"Lawson, Robert Edwar"
AL,4000,400,Athletic Leadership Internship,0%,0%,0%,0%,0%,90%,0%,10%,"Cadorette, Deborah J"
AL,4380,400,Coach & Athlete in Ed Mag (CI),82%,0%,0%,0%,9%,0%,0%,9%,"Cadorette, Deborah J"
AL,8490,400,Ath Leadership Dev,81%,6%,6%,0%,0%,0%,0%,6%,"Godfrey, Michael G"
ANTH,2010,001,Intro Anthropology,6%,24%,34%,10%,12%,0%,0%,14%,"Coggeshall, John M"
