AAH,1020,001,Survey of Art & Arch Hist II,41%,41%,13%,2%,1%,0%,0%,3%,"Feeser, Andrea V",
AAH,2060,001,Art History and Theory II,89%,11%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,001,Financial Accounting Concepts,42%,20%,13%,5%,12%,0%,0%,8%,"Schleifer, Lydia Lan",
ACCT,2010,002,Financial Accounting Concepts,40%,25%,22%,5%,7%,0%,0%,2%,"Philo, Annieka C",
ACCT,2010,003,Financial Accounting Concepts,20%,41%,20%,14%,0%,0%,0%,6%,"Maiberger, Philip A",
ACCT,2010,004,Financial Accounting Concepts,35%,22%,27%,7%,10%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,005,Financial Accounting Concepts,38%,20%,15%,7%,8%,0%,0%,12%,"Schleifer, Lydia Lan",
ACCT,2010,006,Financial Accounting Concepts,45%,25%,8%,5%,8%,0%,0%,8%,"Schleifer, Lydia Lan",
ACCT,2010,007,Financial Accounting Concepts,27%,13%,23%,7%,13%,0%,0%,18%,"Prater, Mary Ann M",
ACCT,2010,008,Financial Accounting Concepts,41%,24%,21%,10%,2%,0%,0%,2%,"Philo, Annieka C",
ACCT,2010,009,Financial Accounting Concepts,11%,29%,20%,9%,9%,0%,0%,23%,"Prater, Mary Ann M",
ACCT,2010,010,Financial Accounting Concepts,59%,29%,5%,2%,2%,0%,0%,3%,"Tegen, Charles A",
ACCT,2010,101,Fin Acct Concepts (HON),76%,12%,0%,0%,0%,0%,0%,12%,"Prater, Mary Ann M",H
ACCT,2010,401,Financial Accounting Concepts,28%,45%,14%,3%,6%,0%,0%,3%,"McMillan, Jeffrey J",
ACCT,2010,402,Financial Accounting Concepts,21%,50%,13%,5%,9%,0%,0%,2%,"McMillan, Jeffrey J",
ACCT,2020,001,Managerial Accounting Concepts,9%,37%,30%,9%,4%,0%,0%,11%,"Anderson, Henry K.",
ACCT,2020,002,Managerial Accounting Concepts,11%,33%,29%,3%,7%,0%,0%,17%,"Anderson, Henry K.",
ACCT,2020,003,Managerial Accounting Concepts,25%,23%,30%,8%,3%,0%,0%,13%,"Anderson, Henry K.",
ACCT,2020,004,Managerial Accounting Concepts,15%,32%,29%,6%,10%,0%,0%,8%,"McCorkle, Emily Suza",
ACCT,2020,005,Managerial Accounting Concepts,46%,34%,13%,4%,1%,0%,0%,1%,"McCorkle, Emily Suza",
ACCT,2020,401,Managerial Accounting Concepts,11%,32%,16%,10%,8%,0%,0%,23%,"Anderson, Henry K.",
ACCT,3030,001,Cost Accounting,40%,29%,20%,2%,4%,0%,0%,4%,"Garrett, Jace B",
ACCT,3030,002,Cost Accounting,20%,39%,31%,4%,0%,0%,0%,6%,"Garrett, Jace B",
ACCT,3030,003,Cost Accounting,24%,32%,24%,4%,6%,0%,0%,10%,"Trax, Rebecca Pennel",
ACCT,3030,004,Cost Accounting,18%,29%,29%,4%,7%,0%,0%,14%,"Trax, Rebecca Pennel",
ACCT,3110,001,Intermediate Financial Acct I,22%,29%,24%,9%,9%,0%,0%,7%,"Knause, Terry Daniel"
ACCT,3110,002,Intermediate Financial Acct I,30%,34%,18%,8%,4%,0%,0%,6%,"Knause, Terry Daniel"
ACCT,3110,003,Intermediate Financial Acct I,34%,42%,14%,8%,0%,0%,0%,2%,"Knause, Terry Daniel"
ACCT,3110,004,Intermediate Financial Acct I,20%,36%,24%,10%,4%,0%,0%,6%,"Knause, Terry Daniel"
ACCT,3110,401,Intermediate Financial Acct I,16%,22%,22%,9%,13%,0%,0%,19%,"Anderson, Henry K."
ACCT,3120,001,Intermediate Financial Acct II,9%,34%,39%,9%,7%,0%,0%,2%,"Guffey, The Estate o"
ACCT,3120,002,Intermediate Financial Acct II,27%,24%,35%,5%,3%,0%,0%,5%,"Guffey, The Estate o"
ACCT,3120,003,Intermediate Financial Acct II,7%,30%,34%,9%,14%,0%,0%,7%,"Carver, Brian Todd"
ACCT,3120,004,Intermediate Financial Acct II,7%,27%,40%,20%,0%,0%,0%,7%,"Carver, Brian Todd"
ACCT,3120,005,Intermediate Financial Acct II,23%,42%,19%,7%,0%,0%,0%,9%,"Vinson, Jeremy Micha"
ACCT,3130,001,Intermediate Fin Acct III,15%,35%,45%,0%,5%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,002,Intermediate Fin Acct III,35%,38%,25%,2%,0%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,003,Intermediate Fin Acct III,26%,54%,18%,0%,3%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,004,Intermediate Fin Acct III,32%,46%,22%,0%,0%,0%,0%,0%,"Madray, J Russell"
ACCT,3220,001,Accounting Information Systems,27%,36%,21%,3%,3%,0%,0%,9%,"Maiberger, Philip A"
ACCT,3220,002,Accounting Information Systems,38%,35%,9%,3%,0%,0%,0%,15%,"Maiberger, Philip A"
ACCT,3220,003,Accounting Information Systems,19%,34%,34%,3%,0%,0%,0%,9%,"Maiberger, Philip A"
ACCT,4040,001,Individual Taxation,61%,20%,18%,0%,2%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,002,Individual Taxation,61%,18%,14%,5%,2%,0%,0%,0%,"Martin, Sarah L"
ACCT,4100,001,Reporting and Mgmt Control Sys,23%,67%,10%,0%,0%,0%,0%,0%,"Radtke, Robin R"
ACCT,4100,002,Reporting and Mgmt Control Sys,15%,49%,31%,3%,3%,0%,0%,0%,"Radtke, Robin R"
ACCT,4150,001,Auditing,24%,43%,29%,1%,1%,0%,0%,1%,"Hollingsworth, Carl"
ACCT,8520,001,Fin Acct Theory/Res,55%,45%,0%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8520,002,Fin Acct Theory/Res,47%,45%,8%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8540,001,Prof Responsibility,42%,58%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne"
