AAH,1010,001,Survey of Art & Arch Histor,51%,40%,4%,2%,0%,0%,0%,3%,0%,0%,0%,0%,Lauritis Beth Ann
AAH,2050,001,Art History and Theory I,91%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,Lauritis Beth Ann
AAH,3050,001,Contemporary Art History,58%,37%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,Feeser Andrea V
ACCT,2010,001,Financial Accounting Conc,36%,38%,20%,2%,2%,0%,0%,2%,0%,0%,0%,0%,Schleifer Lydia
"",,,,,,,,,,,,,,,,Lancaster Folger
ACCT,2010,002,Financial Accounting Conc,44%,31%,15%,2%,4%,0%,0%,5%,0%,0%,0%,0%,Schleifer Lydia
"",,,,,,,,,,,,,,,,Lancaster Folger
ACCT,2010,003,Financial Accounting Conc,17%,32%,25%,7%,12%,0%,0%,7%,0%,0%,0%,0%,Wahlman Robert
"",,,,,,,,,,,,,,,,Eugene
ACCT,2010,004,Financial Accounting Conc,26%,26%,26%,13%,3%,0%,0%,8%,0%,0%,0%,0%,Tegen Charles A
ACCT,2010,005,Financial Accounting Conc,41%,36%,13%,3%,5%,0%,0%,3%,0%,0%,0%,0%,Tegen Charles A
ACCT,2010,006,Financial Accounting Conc,45%,33%,5%,5%,5%,0%,0%,8%,0%,0%,0%,0%,Grant Julie H
ACCT,2010,007,Financial Accounting Conc,21%,44%,31%,3%,0%,0%,0%,3%,0%,0%,0%,0%,Grant Julie H
ACCT,2010,008,Financial Accounting Conc,51%,33%,7%,7%,0%,0%,0%,2%,0%,0%,0%,0%,Schleifer Lydia
"",,,,,,,,,,,,,,,,Lancaster Folger
ACCT,2010,009,Financial Accounting Conc,38%,30%,18%,10%,5%,0%,0%,0%,0%,0%,0%,0%,Grant Julie H
ACCT,2010,010,Financial Accounting Conc,50%,20%,23%,8%,0%,0%,0%,0%,0%,0%,0%,0%,Grant Julie H
ACCT,2010,011,Financial Accounting Conc,35%,31%,21%,4%,8%,0%,0%,0%,0%,0%,0%,0%,Birtwistle Lisa
"",,,,,,,,,,,,,,,,Wheatley
ACCT,2010,012,Financial Accounting Conc,28%,39%,25%,0%,3%,0%,0%,3%,3%,0%,0%,0%,Birtwistle Lisa
"",,,,,,,,,,,,,,,,Wheatley
ACCT,2010,013,Financial Accounting Conc,34%,39%,13%,3%,5%,0%,0%,5%,0%,0%,0%,0%,Birtwistle Lisa
"",,,,,,,,,,,,,,,,Wheatley
ACCT,2010,014,Financial Accounting Conc,18%,32%,28%,10%,0%,0%,0%,12%,0%,0%,0%,0%,McMillan Jeffrey J
ACCT,2010,015,Financial Accounting Conc,23%,34%,31%,3%,0%,0%,0%,9%,0%,0%,0%,0%,Hollingsworth Carl W
ACCT,2010,400,Financial Accounting Conc,9%,28%,36%,12%,5%,0%,0%,10%,0%,0%,0%,0%,McMillan Jeffrey J
ACCT,2010,401,Financial Accounting Conc,26%,21%,26%,11%,9%,0%,0%,7%,0%,0%,0%,0%,McCorkle Emily
"",,,,,,,,,,,,,,,,Suzanne
ACCT,2020,001,Managerial Accounting Co,38%,43%,18%,3%,0%,0%,0%,0%,0%,0%,0%,0%,Radtke Robin R
ACCT,2020,002,Managerial Accounting Co,40%,28%,18%,3%,3%,0%,0%,10%,0%,0%,0%,0%,Radtke Robin R
ACCT,2020,003,Managerial Accounting Co,21%,13%,30%,11%,9%,0%,0%,15%,0%,0%,0%,0%,Carver Brian Todd
ACCT,2020,004,Managerial Accounting Co,12%,29%,19%,12%,10%,0%,0%,17%,0%,0%,0%,0%,Carver Brian Todd
ACCT,2020,400,Managerial Accounting Co,23%,49%,23%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Radtke Robin R
ACCT,2020,401,Managerial Accounting Co,28%,33%,17%,10%,5%,0%,0%,7%,0%,0%,0%,0%,McCorkle Emily
"",,,,,,,,,,,,,,,,Suzanne
ACCT,2020,402,Managerial Accounting Co,33%,22%,28%,5%,3%,0%,0%,9%,0%,0%,0%,0%,McCorkle Emily
"",,,,,,,,,,,,,,,,Suzanne
ACCT,2020,403,Managerial Accounting Co,10%,40%,15%,20%,8%,0%,0%,8%,0%,0%,0%,0%,McCorkle Emily
"",,,,,,,,,,,,,,,,Suzanne
ACCT,2020,404,Managerial Accounting Co,10%,28%,26%,13%,8%,0%,0%,15%,0%,0%,0%,0%,McCorkle Emily
"",,,,,,,,,,,,,,,,Suzanne
ACCT,3030,001,Cost Accounting,38%,35%,23%,3%,3%,0%,0%,0%,0%,0%,0%,0%,Way Daniel Thomas
ACCT,3030,002,Cost Accounting,25%,33%,35%,3%,3%,0%,0%,3%,0%,0%,0%,0%,Way Daniel Thomas
ACCT,3030,003,Cost Accounting,26%,32%,32%,5%,3%,0%,0%,3%,0%,0%,0%,0%,Garrett Jace B
ACCT,3030,004,Cost Accounting,16%,42%,26%,0%,5%,0%,0%,11%,0%,0%,0%,0%,Garrett Jace B
ACCT,3030,005,Cost Accounting,77%,13%,8%,3%,0%,0%,0%,0%,0%,0%,0%,0%,Martin Sarah L
ACCT,3110,001,Intermediate Financial Acc,17%,34%,31%,3%,7%,0%,0%,7%,0%,0%,0%,0%,Donnelly Amy
"",,,,,,,,,,,,,,,,Melissa
ACCT,3110,002,Intermediate Financial Acc,30%,30%,30%,4%,7%,0%,0%,0%,0%,0%,0%,0%,Donnelly Amy
"",,,,,,,,,,,,,,,,Melissa
ACCT,3110,003,Intermediate Financial Acc,31%,38%,23%,4%,0%,0%,0%,4%,0%,0%,0%,0%,Philo Annieka C
ACCT,3110,004,Intermediate Financial Acc,26%,35%,23%,6%,6%,0%,0%,3%,0%,0%,0%,0%,Philo Annieka C
ACCT,3110,005,Intermediate Financial Acc,4%,25%,36%,11%,18%,0%,0%,7%,0%,0%,0%,0%,Madray J Russell
ACCT,3110,006,Intermediate Financial Acc,18%,42%,18%,6%,9%,0%,0%,6%,0%,0%,0%,0%,Madray J Russell
ACCT,3110,007,Intermediate Financial Acc,19%,41%,28%,0%,0%,0%,0%,9%,3%,0%,0%,0%,Madray J Russell
ACCT,3110,008,Intermediate Financial Acc,23%,42%,10%,19%,3%,0%,0%,3%,0%,0%,0%,0%,Madray J Russell
ACCT,3120,001,Intermediate Financial Acc,10%,41%,31%,5%,5%,0%,0%,8%,0%,0%,0%,0%,Vinson Jeremy
"",,,,,,,,,,,,,,,,Michael
ACCT,3120,002,Intermediate Financial Acc,33%,44%,17%,0%,3%,0%,0%,3%,0%,0%,0%,0%,Vinson Jeremy
"",,,,,,,,,,,,,,,,Michael
ACCT,3120,003,Intermediate Financial Acc,14%,23%,31%,14%,11%,0%,0%,6%,0%,0%,0%,0%,Knause Terry Daniel
ACCT,3120,004,Intermediate Financial Acc,17%,40%,30%,7%,0%,0%,0%,7%,0%,0%,0%,0%,Knause Terry Daniel
ACCT,3120,005,Intermediate Financial Acc,18%,36%,30%,6%,9%,0%,0%,0%,0%,0%,0%,0%,Knause Terry Daniel
ACCT,3120,006,Intermediate Financial Acc,22%,42%,17%,6%,14%,0%,0%,0%,0%,0%,0%,0%,Knause Terry Daniel
ACCT,3130,001,Analytics for Acct Dec Mak,69%,29%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Barnes James D
ACCT,3130,002,Analytics for Acct Dec Mak,89%,9%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,Barnes James D
ACCT,3130,003,Analytics for Acct Dec Mak,27%,38%,15%,15%,4%,0%,0%,0%,0%,0%,0%,0%,Davis-Culler Phebian
"",,,,,,,,,,,,,,,,L
ACCT,3130,004,Analytics for Acct Dec Mak,25%,39%,25%,0%,11%,0%,0%,0%,0%,0%,0%,0%,Davis-Culler Phebian
"",,,,,,,,,,,,,,,,L
ACCT,3130,005,Analytics for Acct Dec Mak,25%,30%,30%,10%,5%,0%,0%,0%,0%,0%,0%,0%,Davis-Culler Phebian
"",,,,,,,,,,,,,,,,L
ACCT,3220,001,Accounting Information Sy,15%,19%,42%,8%,12%,0%,0%,4%,0%,0%,0%,0%,Maiberger Philip A
ACCT,3220,002,Accounting Information Sy,27%,31%,35%,0%,4%,0%,0%,4%,0%,0%,0%,0%,Maiberger Philip A
ACCT,3220,003,Accounting Information Sy,13%,30%,23%,17%,7%,0%,0%,10%,0%,0%,0%,0%,Maiberger Philip A
